date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:40:56	3424/3424	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Dec%202018%2004:13:06%20GMT	http://shtheme.net/demosd/cruise/wp-content/plugins/js_composer/assets/lib/bower/flexslider/flexslider.min.css?ver=4.11.2	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/plugins/js_composer/assets/lib/bower/flexslider/flexslider.min2720.css	(from http://shtheme.net/demosd/cruise/)
21:40:58	155632/155632	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Dec%202018%2004:13:06%20GMT	http://shtheme.net/demosd/cruise/wp-content/themes/cruise/assets/css/style.css?ver=4.9.8	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/themes/cruise/assets/css/style5010.css	(from http://shtheme.net/demosd/cruise/)
21:41:00	23739/23739	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Dec%202018%2004:13:06%20GMT	http://shtheme.net/demosd/cruise/wp-content/themes/cruise/assets/font-awesome/css/font-awesome.min.css?ver=4.9.8	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/themes/cruise/assets/font-awesome/css/font-awesome.min5010.css	(from http://shtheme.net/demosd/cruise/)
21:41:02	1821/1821	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Dec%202018%2004:13:06%20GMT	http://shtheme.net/demosd/cruise/wp-content/themes/cruise/assets/css/light.css?ver=4.9.8	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/themes/cruise/assets/css/light5010.css	(from http://shtheme.net/demosd/cruise/)
21:41:02	19095/19095	---MC-	200	added ('OK')	application/rss+xml	date:Thu,%2013%20Dec%202018%2002:01:19%20GMT	http://shtheme.net/demosd/cruise/?feed=rss2	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/indexd784.html	(from http://shtheme.net/demosd/cruise/)
21:41:02	976/976	---MC-	200	added ('OK')	text/css	date:Fri,%2012%20Jul%202019%2014:41:02%20GMT	http://fonts.googleapis.com/css?family=Open+Sans%3A400%2C800%2C700%2C600&ver=4.9.8	/home/audy/websites/cms_Travel/fonts.googleapis.com/css8244.css	(from http://shtheme.net/demosd/cruise/)
21:41:03	39489/39489	---M--	200	added ('OK')	text/css	date:Thu,%2013%20Dec%202018%2002:13:30%20GMT	http://shtheme.net/demosd/cruise/wp-content/themes/cruise/style.css?ver=2016-05-28	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/themes/cruise/style4667.css	(from http://shtheme.net/demosd/cruise/)
21:41:05	64663/64663	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Dec%202018%2004:13:06%20GMT	http://shtheme.net/demosd/cruise/wp-content/plugins/mega_main_menu/framework/src/css/icomoon.css?ver=2.1.7	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/plugins/mega_main_menu/framework/src/css/icomoone7f3.css	(from http://shtheme.net/demosd/cruise/)
21:41:09	156340/156340	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Dec%202018%2004:13:06%20GMT	http://shtheme.net/demosd/cruise/wp-content/plugins/mega_main_menu/src/css/cache.skin.css?ver=1544063016	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/plugins/mega_main_menu/src/css/cache.skin529b.css	(from http://shtheme.net/demosd/cruise/)
21:41:14	728081/728081	---M--	200	added ('OK')	text/css	date:Tue,%2011%20Dec%202018%2004:13:06%20GMT	http://shtheme.net/demosd/cruise/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.11.2	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-content/plugins/js_composer/assets/css/js_composer.min2720.css	(from http://shtheme.net/demosd/cruise/)
21:41:18	10056/10056	---M--	200	added ('OK')	application/javascript	date:Tue,%2011%20Dec%202018%2004:13:08%20GMT	http://shtheme.net/demosd/cruise/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	/home/audy/websites/cms_Travel/shtheme.net/demosd/cruise/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://shtheme.net/demosd/cruise/)
